 dep | manque | rapproche | pourcent_manquant 
-----+--------+-----------+-------------------
 85  |   1706 |     19844 | 07%
 75  |    502 |      5161 | 08%
 90  |    317 |      2438 | 11%
 67  |   1950 |     12538 | 13%
 68  |   1962 |     12218 | 13%
 94  |   1016 |      6649 | 13%
 92  |   1182 |      5603 | 17%
 35  |   3088 |     13744 | 18%
 93  |   1559 |      6384 | 19%
 15  |    491 |      1873 | 20%
 71  |   2648 |      8870 | 22%
 80  |   2034 |      7113 | 22%
 01  |   2908 |      9422 | 23%
 18  |   1922 |      5867 | 24%
 44  |   6161 |     19275 | 24%
 91  |   3172 |     10014 | 24%
 29  |   5660 |     14593 | 27%
 78  |   3572 |      9257 | 27%
 73  |   1455 |      3721 | 28%
 10  |   1310 |      3095 | 29%
 11  |   3282 |      8031 | 29%
 31  |   5854 |     14032 | 29%
 65  |   1725 |      3862 | 30%
 66  |   3859 |      8786 | 30%
 12  |   1375 |      2869 | 32%
 46  |    687 |      1459 | 32%
 72  |   3553 |      7511 | 32%
 05  |    510 |       952 | 34%
 54  |   4563 |      8522 | 34%
 59  |  12332 |     23616 | 34%
 69  |   5860 |     11362 | 34%
 60  |   5858 |     10495 | 35%
 37  |   4850 |      8328 | 36%
 38  |   7477 |     12979 | 36%
 95  |   3262 |      5614 | 36%
 04  |   1038 |      1746 | 37%
 21  |   5235 |      8335 | 38%
 51  |   2298 |      3662 | 38%
 57  |   6897 |     10905 | 38%
 34  |  10066 |     15156 | 39%
 62  |  10687 |     16668 | 39%
 63  |   5802 |      8084 | 41%
 2A  |    111 |       151 | 42%
 48  |    486 |       629 | 43%
 74  |   7515 |      9450 | 44%
 32  |   1266 |      1506 | 45%
 49  |   7983 |      9592 | 45%
 89  |   5362 |      6323 | 45%
 36  |   3031 |      3427 | 46%
 42  |   4827 |      5454 | 46%
 13  |   9346 |     10125 | 47%
 30  |   7807 |      8483 | 47%
 52  |   1158 |      1291 | 47%
 76  |   8222 |      8982 | 47%
 77  |   8655 |      9658 | 47%
 88  |   5559 |      6266 | 47%
 25  |   6136 |      6440 | 48%
 26  |   4553 |      4913 | 48%
 33  |  12412 |     13331 | 48%
 83  |   7163 |      7203 | 49%
 03  |   2687 |      2684 | 50%
 06  |   5372 |      5320 | 50%
 14  |   6668 |      6509 | 50%
 81  |   3873 |      3811 | 50%
 84  |   5400 |      5180 | 51%
 17  |  14356 |     12792 | 52%
 24  |   1817 |      1638 | 52%
 58  |   2852 |      2544 | 52%
 64  |   7737 |      7116 | 52%
 86  |   6502 |      5920 | 52%
 45  |   7137 |      6145 | 53%
 56  |   9299 |      8149 | 53%
 87  |   4675 |      4044 | 53%
 07  |   2911 |      2401 | 54%
 79  |   7918 |      6686 | 54%
 19  |   2007 |      1611 | 55%
 39  |   5155 |      4116 | 55%
 47  |   2965 |      2347 | 55%
 43  |   1499 |      1161 | 56%
 61  |   2575 |      1980 | 56%
 41  |   5685 |      4281 | 57%
 70  |   3504 |      2538 | 57%
 23  |   1676 |      1212 | 58%
 16  |   4922 |      3333 | 59%
 97  |   9686 |      6645 | 59%
 22  |   9179 |      5966 | 60%
 28  |   6026 |      3945 | 60%
 02  |   8429 |      5355 | 61%
 40  |  10314 |      6254 | 62%
 08  |   1937 |      1051 | 64%
 55  |   1310 |       725 | 64%
 50  |   8380 |      4489 | 65%
 09  |    873 |       442 | 66%
 82  |   3756 |      1932 | 66%
 27  |   7709 |      3349 | 69%
 53  |   5172 |      2044 | 71%
 2B  |    561 |       155 | 78%
(97 lignes)

